Disease,Count of Disease Occurrence,Symptom,Treatment
emphysema pulmonary,80,behavior showing increased motor activity;scar tissue;dyspnea on exertion;coordination abnormal;myalgia,Treatment of COPD and emphysema aims to stabilize the condition and prevent complications through the use of medication and supportive therapy. Supportive therapy includes oxygen therapy and help with smoking cessation.
hemorrhoids,80,haemorrhage;bowel sounds decreased;decreased stool caliber;nausea and vomiting;hunger,"Treatment consists of diet modifications and laxatives A high-fibre diet can be effective, along with stool softeners. In some cases, a medical procedure to remove the haemorrhoid may be needed to provide relief. Self-care High fiber diet, Ice packs, Cold compress and Witch hazel extract Medications Steroid, Local anesthetic and Dietary supplement Medical procedure Cauterization, Rubber band ligation, Freezing, Sclerotherapy and Stapled hemorrhoidopexy"
spasm bronchial,76,shortness of breath;scar tissue;apyrexial;no known drug allergies;pain,"If you have asthma, your doctor will likely prescribe one or more bronchodilators to help open your constricted airways.If you have acute bronchitis, your doctor may prescribe inhaled steroids. They can provide quick relief for bronchial spasms.If you have chronic bronchitis or emphysema, your doctor will likely prescribe inhalers and antibiotics. They may also recommend oxygen therapy if your symptoms are very serious. In severe cases of COPD, you may be eligible for a lung transplant."
aphasia,76,clonus;egophony;facial paresis;aphagia;muscle twitch,"Treatment consists of therapy Once the underlying cause is treated, the main treatment for aphasia is speech therapy. Therapies Speech therapy, Support group, Rehabilitation, Stroke rehabilitation and Group psychotherapy"
obesity morbid,76,out of breath;sedentary;angina pectoris;cough;unhappy,"Treatment consists of self care The mainstay of treatment is lifestyle changes such as diet and exercise. Self-care Physical exercise, Weight loss, Low carbohydrate diet and Low fat diet Therapies Behaviour therapy"
pyelonephritis,74,fever;pain;urgency of micturition;hematuria;vomiting,Treatment consists of antibiotics Treatment includes antibiotics and often requires hospitalisation. Medications Antibiotics and Penicillin
endocarditis,71,pleuritic pain;thicken;myalgia;apyrexial;night sweat,Treatment consists of surgery The main treatment is antibiotics. Sometimes surgery is required. Medications Antibiotics and Penicillin Surgery Valve replacement
effusion pericardial^pericardial effusion body substance,71,pericardial friction rub;dyspnea;shortness of breath;hemodynamically stable;cardiomegaly,"For pericardial effusions due to inflammation of the sac, treating the inflammation also treats the effusion. In that case, you may be given: Nonsteroidal anti-inflammatory drugs (NSAIDs), like Aleve, Indocin, and Motrin Corticosteroids, like prednisone and Solu-Medrol Colchicine (Colcrys)"
chronic alcoholic intoxication,70,tremor;hallucinations auditory;suicidal;hoard;irritable mood,"Treatment consists of vitamins and fluids Alcohol intoxication is managed with rest, hydration and stopping alcohol use. Severe cases require hospital admission, intravenous fluids, observation and supportive care. Medical procedure Alcohol detoxification Supportive care IV fluids and Increase fluid intake Medications Vitamin Self-care Alcohol avoidance and Rest"
pneumothorax,68,dyspnea;cardiovascular finding^cardiovascular event;haemoptysis;cough;hypercapnia,"Treatment consists of supportive care and procedures When a pneumothorax is large, a needle or tube is used to remove excess air. Supportive care Oxygen therapy and Monitoring for changes or improvement Medical procedure Chest tube"
delirium,68,unsteady gait;withdraw;hyponatremia;verbally abusive behavior;feeling suicidal,"If you’re agitated or depressed, you may be given small doses of one of the following medications: antidepressants to relieve depression sedatives to ease alcohol withdrawal dopamine blockers to help with drug poisoning thiamine to help prevent confusion"
neutropenia,68,transaminitis;splenomegaly;night sweat;apyrexial;lesion,"Treatment consists of bone marrow stimulants Management of this condition includes treating the underlying cause, as well as medication that increases neutrophil counts. Avoiding anyone who is sick and practising good hygiene can help reduce the risk of infection. Medications Bone marrow stimulant, Antibiotics and Penicillin"
hyperbilirubinemia,68,cyanosis;tachypnea;para 1;bradycardia;breech presentation,"Treatment of conjugated hyperbilirubinemia is dependent on the cause; it may include supportive or curative measures. [8] Failure to diagnose liver toxicity due to ongoing drug or toxin exposure may lead to liver failure and death. For this reason, it is best to stop all potentially hepatotoxic drugs until the cause of the conjugated hyperbilirubinemia can be determined"
influenza,68,uncoordination;fever;pleuritic pain;snuffle;throat sore,"Treatment consists of fluids and activity modifications Flu is primarily treated with rest and fluid intake to allow the body to fight the infection on its own. Paracetamol may help cure the symptoms but NSAIDs should be avoided. An annual vaccine can help prevent the flu and limit its complications. Supportive care Fluid replacement Self-care Bed rest and Throat lozenge Medications Decongestant, Cough medicine, Nonsteroidal anti-inflammatory drug, Analgesic and Antiviral drug"
dependence,67,intoxication;tremor;agitation;suicidal;homelessness,Substances that mimic the effects of illegal drugs may help reduce the symptoms of withdrawal during treatment. Detox programs use a combination of therapy and medical treatment to ease dependence and treat the disorder. Ongoing therapy sessions may be needed after you’re released from a treatment program.
thrombus,67,hypokinesia;anorexia;hypertonicity;shortness of breath;hypoalbuminemia,"Deep vein thrombosis (DVT) treatment is aimed at preventing the clot from getting bigger and preventing it from breaking loose and causing a pulmonary embolism.Blood thinners , clot busters, filters and compression stockings are used."
cholecystitis,66,moan;nausea;pain abdominal;Murphy's sign;flatulence,Treatment consists of antibiotics and surgery Treatment includes a hospital stay and surgical removal. Self-care Fasting from food and drink Supportive care IV fluids Medications Antibiotics and Penicillin Surgery Cholecystectomy.
hernia hiatal,61,pain abdominal;fatigability;prodrome;vomiting;nausea,"Treatment depends on severity Hiatus hernias may not require any treatment. Some are treated with drugs and a few types need surgical repair. Self-care Weight loss Medications Proton-pump inhibitor and Antacid Surgery Nissen fundoplication, Hernia repair and Laparoscopic surgery"
migraine disorders,61,ambidexterity;vomiting;dizziness;numbness;nausea,"Treatment consists of pain medications Preventive and pain-relieving medication can help manage migraine headaches. Self-care Stress management, Improved sleep habits, Avoid migraine triggers and Diet modification Medications Antipsychotic, Analgesic, Nonsteroidal anti-inflammatory drug, Stimulant, Nerve pain medication, Triptan, Neurotoxin and Dietary supplement Therapies Progressive muscle relaxation and Acupuncture"
pancytopenia,61,hypoproteinemia;fatigue;haemorrhage;fatigability;cushingoid facies^cushingoid habitus,A doctor may order a transfusion of red blood cells or platelets if a person’s blood counts are extremely low or they are displaying severe symptoms associated with pancytopenia. Other treatments can include: bone marrow transplant stem cell transplant medications
cholelithiasis^biliary calculus,61,vomiting;nausea;pain abdominal;pain;cushingoid facies^cushingoid habitus,Treatment consists of diet modifications People who experience symptoms usually require gallbladder removal surgery. Gallstones that don't cause symptoms usually don't need treatment. Self-care Low fat diet Medications Cholesterol medication Surgery Cholecystectomy and Laparoscopic surgery
tachycardia sinus,56,left atrial hypertrophy;sweat^sweating increased;alcohol binge episode;pressure chest;scar tissue,"ST is often hard to treat since its causes aren’t fully understood. Depending on how fast your heart rate is, your doctor might prescribe beta-blockers or calcium channel blockers to lower your heart rate. You may also need to make some lifestyle changes, such as: avoiding things that could cause an increase in heart rate, such as stimulants, recreational drugs, or stressful situations eating a heart-healthy diet exercising maintaining a healthy weight"
ileus,56,abscess bacterial;abdomen acute;air fluid level;catching breath;abdominal tenderness,"Treatment depends on severity Ileus is treated by resting the bowel (allowing only sips of liquids and no food by mouth), providing intravenous fluids and electrolytes as required. Sometimes, passing a tube from the nose to the stomach or small intestine to suck out air can relieve abdominal swelling while waiting for bowel function to return. Self-care Fasting from food and drink Medical procedure Nasogastric intubation Supportive care IV fluids"
adhesion,57,flatulence;pain;large-for-dates fetus;para 1;vomiting,"The treatment of adhesions is straight-forward. Patients undergo either laparoscopic or open surgery and the adhesions are cut by scalpel or electrical current (lysis). The problem is that adhesions have a tendency to reform, and some individuals have a propensity to form adhesions. Laparoscopic surgery results in fewer adhesions and, theoretically, is a better option; however, whether the adhesions are lysed at laparoscopic or open surgery, the inflammation caused by the process of cutting can result in recurrent adhesions."
delusion,56,loose associations;giddy mood;feeling hopeless;agitation;hallucinations auditory,"Delusional disorder is considered difficult to treat. Antipsychotic drugs, antidepressants and mood-stabilising medications are frequently used to treat this mental illness and there is growing interest in psychological therapies such as psychotherapy and cognitive behavioural therapy (CBT) as a means of treatment."
affect labile,45,extreme exhaustion;sleeplessness;enuresis;patient non compliance;feeling hopeless,Treatment consists of mood stabilisers Antidepressants and talk therapy can help. Therapies Cognitive behavioral therapy Medications SSRIs and Antidepressant
decubitus ulcer,42,systolic murmur;frail;fever,"Treatment depends on severity Bed sores can be difficult to treat. Treatment includes cleaning and dressing the wound along with reducing pressure on the sore by frequent changes in position. Self-care Moisturizer, Barrier cream, Negative-Pressure wound therapy, Relieve pressure on skin and High-protein diet Medications Antibiotics and Dietary supplement Medical procedure Debridement"
